TimeStep,T_avancement,T_affichage,T_total
1,0.0311938,0.0696635,0.100858
2,0.00413285,0.0369366,0.0410697
3,0.000597501,0.0354183,0.036016
4,0.000443194,0.0345796,0.0350231
5,0.000461079,0.0337789,0.0342405
6,0.00929262,0.0342058,0.0434989
7,0.00341014,0.0327648,0.0361752
8,0.00345221,0.0330452,0.0364977
9,0.00064217,0.0343866,0.0350291
10,0.0109459,0.0492202,0.0601664
11,0.00202682,0.0349032,0.0369302
12,0.000571692,0.0345459,0.0351178
13,0.00494067,0.0343934,0.0393346
14,0.00396252,0.0349726,0.0389353
15,0.000484718,0.0348713,0.0353562
16,0.000318692,0.0342354,0.0345543
17,0.00042879,0.0394769,0.039906
18,0.0158871,0.0382579,0.0541453
19,0.00548787,0.0347896,0.0402776
20,0.000567898,0.0327532,0.0333214
21,0.000609444,0.0327099,0.0333201
22,0.0114919,0.0339991,0.0454911
23,0.000648171,0.0356083,0.0362571
24,0.000597967,0.0334822,0.0340804
25,0.000832093,0.0336054,0.0344381
26,0.00472534,0.0360138,0.0407393
27,0.0020136,0.0363375,0.0383515
28,0.0353691,0.0321151,0.0674844
29,0.047741,0.0260966,0.0738378
30,0.0238073,0.0267445,0.0505522
31,0.00189137,0.0274194,0.0293112
32,0.00300749,0.0345944,0.0376644
33,0.000992966,0.0329157,0.0339091
34,0.00344018,0.0288628,0.0323035
35,0.00341091,0.0273965,0.0308078
36,0.00185129,0.027853,0.0297049
37,0.00109622,0.0284318,0.0295285
38,0.0208307,0.0258115,0.0466428
39,0.00435126,0.0292731,0.0336249
40,0.00261366,0.0285829,0.031197
41,0.00181948,0.0273051,0.0291247
42,0.00157528,0.0277994,0.0293754
43,0.00133155,0.0278642,0.0291961
44,0.00136867,0.0290147,0.030384
45,0.00140544,0.0285535,0.0299591
46,0.00158085,0.0274472,0.0290285
47,0.0016217,0.0275275,0.0291499
48,0.00155762,0.0283723,0.0299305
49,0.00151957,0.0317524,0.0332725
50,0.00153743,0.0290276,0.0305655
51,0.00230718,0.0292508,0.0315586
52,0.00368759,0.0274219,0.0311099
53,0.0022175,0.0275443,0.0297624
54,0.0145099,0.0261632,0.0406733
55,0.00168496,0.0285411,0.0302265
56,0.00547937,0.0269758,0.0324554
57,0.00185709,0.0273809,0.0292385
58,0.00320558,0.0269638,0.0301696
59,0.00189022,0.0277841,0.0296747
60,0.00552688,0.0276026,0.0331301
61,0.00343412,0.0278071,0.0312416
62,0.0410553,0.0259741,0.0670298
63,0.00218334,0.0311023,0.0332858
64,0.0329353,0.0327167,0.0656943
